#Gene Level Annotation Report
#2023-11-15 03:23:36.667571
#CRAVAT version: hybrid
#Analysis done at http://www.cravat.us.
#Job Id: au198_20231114_215211
#Input file: ERR2348724.sorted.indexed.flagged_1_.vcf
#This report shows analysis results at gene level.
#The composite p-value (Stouffer's combined p-value) and composite FDR of a gene show how probable it is to get the same p-value distribution for the gene as that obtained from the input variants by chance.
#hg19 genomic.
#N/A
#For more information on CRAVAT, visit http://www.cravat.us.

HUGO symbol	Number of variants	Sequence ontology	CGC driver class	CGC inheritance	CGC tumor types somatic	CGC tumor types germline	ClinVar disease identifier	ClinVar XRef	Occurrences in COSMIC	COSMIC gene count (tissue)	Number of samples with gene mutated	GeneCards summary (from http://www.genecards.org)	PubMed article count	PubMed search term	CHASM gene score	CHASM gene p-value	CHASM gene FDR	VEST gene score (non-silent)	VEST gene p-value	VEST gene FDR	Protein 3D gene	Has a mutation in a TCGA Mutation Cluster	NCI pathway hits	NCI pathway IDs	NCI pathway names	TARGET	CGL driver class
TMEM201	1	MS							79	upper_aerodigestive_tract(2);thyroid(1);large_intestine(10);stomach(10);soft_tissue(2);haematopoietic_and_lymphoid_tissue(5);endometrium(2);urinary_tract(1);lung(9);liver(12);skin(13);oesophagus(3);NS(2);prostate(3);bone(1);kidney(1);breast(2)	1	No GeneCards annotation	0					0.02	0.98755	1							
KIF1B	2	SY					C0027819	OMIM:256700	383	large_intestine(60);pleura(1);endometrium(29);lung(31);skin(57);kidney(23);thyroid(6);cervix(9);central_nervous_system(5);oesophagus(12);NS(10);upper_aerodigestive_tract(18);biliary_tract(3);stomach(30);soft_tissue(3);urinary_tract(7);liver(20);prostate(12);pancreas(5);small_intestine(1);haematopoietic_and_lymphoid_tissue(15);ovary(5);bone(3);breast(18)	1	 This gene encodes a motor protein that transports mitochondria and synaptic vesicle precursors. Mutations in this	20	http://www.ncbi.nlm.nih.gov/pubmed?term=KIF1B[TIAB]+AND+cancer[MH]													
PGD	2	SY							119	thyroid(2);cervix(3);large_intestine(25);stomach(11);soft_tissue(1);upper_aerodigestive_tract(1);haematopoietic_and_lymphoid_tissue(5);biliary_tract(1);endometrium(5);urinary_tract(2);lung(7);liver(4);skin(30);oesophagus(2);ovary(1);NS(6);prostate(3);bone(1);kidney(4);breast(5)	1	 6-phosphogluconate dehydrogenase is the second dehydrogenase in the pentose phosphate shunt. Deficiency of this	160	http://www.ncbi.nlm.nih.gov/pubmed?term=PGD[TIAB]+AND+cancer[MH]													
APITD1-CORT	1	SY									1	 This locus represents naturally occurring read-through transcription between the neighboring APITD1  (apoptosis-inducing, TAF9-like domain 1) and CORT (cortistatin) genes. Alternative splicing results in multiple  transcript variants, one of which encodes a fusion protein that shares sequence identity with the products of each  individual gene. (provided by RefSeq)	0														
PEX14	1	SY					C3554004	OMIM:614887	107	thyroid(3);upper_aerodigestive_tract(3);large_intestine(13);stomach(9);central_nervous_system(3);cervix(3);small_intestine(2);haematopoietic_and_lymphoid_tissue(11);endometrium(3);urinary_tract(4);pancreas(3);lung(6);liver(5);skin(13);eye(1);oesophagus(5);NS(3);prostate(4);bone(1);kidney(3);breast(9)	1	 This gene encodes an essential component of the peroxisomal import machinery. The protein is integrated into	8	http://www.ncbi.nlm.nih.gov/pubmed?term=PEX14[TIAB]+AND+cancer[MH]													
CASZ1	5	SY							533	large_intestine(124);endometrium(22);lung(17);skin(113);kidney(7);thyroid(14);cervix(6);central_nervous_system(7);oesophagus(28);NS(11);upper_aerodigestive_tract(27);biliary_tract(3);stomach(34);soft_tissue(8);urinary_tract(11);liver(18);prostate(16);pancreas(10);salivary_gland(2);small_intestine(3);haematopoietic_and_lymphoid_tissue(10);ovary(7);bone(7);breast(28)	1	 The protein encoded by this gene is a zinc finger transcription factor. The encoded protein may function as a	10	http://www.ncbi.nlm.nih.gov/pubmed?term=CASZ1[TIAB]+AND+cancer[MH]													
MASP2	2	MS					C3151085	OMIM:613791	198	large_intestine(27);pleura(1);endometrium(12);lung(10);skin(45);kidney(1);thyroid(1);cervix(3);central_nervous_system(6);oesophagus(9);NS(7);upper_aerodigestive_tract(7);biliary_tract(4);stomach(9);soft_tissue(6);urinary_tract(9);liver(15);prostate(2);pancreas(6);adrenal_gland(1);small_intestine(1);haematopoietic_and_lymphoid_tissue(3);ovary(3);bone(5);breast(5)	1	 The Ra-reactive factor (RARF) is a complement-dependent bactericidal factor that binds to the Ra and R2	6	http://www.ncbi.nlm.nih.gov/pubmed?term=MASP2[TIAB]+AND+cancer[MH]				0.109	0.75326	1	../MuPIT_Interactive?gm=chr1:11030859						
SRM	1	SY							53	thyroid(2);cervix(1);large_intestine(11);stomach(2);haematopoietic_and_lymphoid_tissue(2);endometrium(4);urinary_tract(2);lung(2);liver(8);skin(12);oesophagus(2);prostate(1);kidney(1);breast(3)	1	 The polyamines putrescine, spermine, and spermidine are ubiquitous polycationic mediators of cell growth and	141	http://www.ncbi.nlm.nih.gov/pubmed?term=SRM[TIAB]+AND+cancer[MH]													
EXOSC10	2	SY							182	large_intestine(33);endometrium(13);lung(7);skin(34);kidney(2);thyroid(2);cervix(2);central_nervous_system(5);oesophagus(6);NS(7);upper_aerodigestive_tract(10);biliary_tract(3);stomach(17);urinary_tract(4);liver(7);prostate(5);pituitary(1);pancreas(5);small_intestine(2);haematopoietic_and_lymphoid_tissue(6);ovary(4);bone(5);breast(2)	1	No GeneCards annotation	0														
MTOR	5	SY					C1846385	OMIM:607341	797	large_intestine(117);endometrium(60);lung(47);skin(140);kidney(83);thyroid(9);cervix(14);testis(2);eye(1);central_nervous_system(18);genital_tract(14);oesophagus(25);NS(10);upper_aerodigestive_tract(20);biliary_tract(6);stomach(47);soft_tissue(5);fallopian_tube(1);urinary_tract(17);liver(35);prostate(18);pancreas(11);salivary_gland(4);small_intestine(3);haematopoietic_and_lymphoid_tissue(28);ovary(23);bone(3);breast(36)	1	 The protein encoded by this gene belongs to a family of phosphatidylinositol kinase-related kinases. These kinases	4552	http://www.ncbi.nlm.nih.gov/pubmed?term=MTOR[TIAB]+AND+cancer[MH]												Everolimus, Temsirolimus, MTOR inhibitors	
PTCHD2	2	MS							588	large_intestine(111);endometrium(23);lung(45);skin(145);autonomic_ganglia(2);kidney(9);thyroid(3);cervix(5);central_nervous_system(8);oesophagus(24);NS(15);upper_aerodigestive_tract(17);biliary_tract(9);stomach(44);soft_tissue(9);urinary_tract(11);breast(12);prostate(13);pancreas(25);haematopoietic_and_lymphoid_tissue(15);ovary(6);bone(5);liver(32)	1	No GeneCards annotation	1	http://www.ncbi.nlm.nih.gov/pubmed?term=PTCHD2[TIAB]+AND+cancer[MH]				0.117	0.72624	1							
FBXO2	1	II							57	thyroid(3);large_intestine(7);soft_tissue(1);central_nervous_system(1);haematopoietic_and_lymphoid_tissue(1);biliary_tract(4);endometrium(2);urinary_tract(5);oesophagus(5);liver(8);skin(3);lung(8);ovary(1);prostate(2);kidney(2);breast(4)	1	 This gene encodes a member of the F-box protein family which is characterized by an approximately 40 amino acid motif,  the F-box. The F-box proteins constitute one of the four subunits of the ubiquitin protein ligase complex called SCFs  (SKP1-cullin-F-box), which function in phosphorylation-dependent ubiquitination. The F-box proteins are divided into 3  classes: Fbws containing WD-40 domains, Fbls containing leucine-rich repeats, and Fbxs containing either different  protein-protein interaction modules or no recognizable motifs. The protein encoded by this gene belongs to the Fbxs  class. This protein is highly similar to the rat NFB42 (neural F Box 42 kDa) protein which is enriched in the nervous  system and may play a role in maintaining neurons in a postmitotic state. (provided by RefSeq)	0					0.12	0.5116	1	../MuPIT_Interactive?gm=chr1:11650723						
FBXO6	1	MS							42	upper_aerodigestive_tract(4);large_intestine(13);stomach(4);central_nervous_system(1);liver(1);haematopoietic_and_lymphoid_tissue(1);endometrium(4);lung(2);breast(4);skin(3);oesophagus(1);ovary(1);prostate(1);kidney(1);pancreas(1)	1	 This gene encodes a member of the F-box protein family which is characterized by an approximately 40 amino acid	1	http://www.ncbi.nlm.nih.gov/pubmed?term=FBXO6[TIAB]+AND+cancer[MH]				0.076	0.86945	1							
DRAXIN	1	SY									1	No GeneCards annotation	2	http://www.ncbi.nlm.nih.gov/pubmed?term=DRAXIN[TIAB]+AND+cancer[TIAB]													
C1orf167	22	MS							86	upper_aerodigestive_tract(35);thyroid(2);biliary_tract(2);stomach(1);soft_tissue(9);central_nervous_system(1);haematopoietic_and_lymphoid_tissue(3);large_intestine(4);oesophagus(1);liver(8);skin(8);pancreas(1);prostate(5);kidney(3);breast(3)	1	No GeneCards annotation	0					0.19	0.999999999960078	1							
MTHFR	6	MS					C0036341	OMIM:181500;SNOMED CT:Schizophrenia	236	large_intestine(25);endometrium(13);lung(11);skin(34);kidney(4);thyroid(5);cervix(4);central_nervous_system(6);genital_tract(1);oesophagus(11);NS(7);upper_aerodigestive_tract(4);biliary_tract(2);stomach(17);soft_tissue(51);urinary_tract(4);breast(7);prostate(10);pancreas(6);adrenal_gland(2);haematopoietic_and_lymphoid_tissue(5);bone(2);liver(5)	1	 The protein encoded by this gene catalyzes the conversion of 5,10-methylenetetrahydrofolate to	796	http://www.ncbi.nlm.nih.gov/pubmed?term=MTHFR[MH]+AND+cancer[MH]				0.472	0.679795381255665	1	../MuPIT_Interactive?gm=chr1:11796321						
CLCN6	4	MS							204	large_intestine(38);pleura(1);endometrium(18);lung(11);skin(41);kidney(10);thyroid(3);cervix(6);central_nervous_system(4);oesophagus(8);NS(2);upper_aerodigestive_tract(3);biliary_tract(1);stomach(12);soft_tissue(3);urinary_tract(4);liver(6);prostate(8);pancreas(9);haematopoietic_and_lymphoid_tissue(3);ovary(4);bone(2);breast(7)	1	 This gene encodes a member of the voltage-dependent chloride channel protein family. Members of this family can	0	Retrieval+error				0.162	0.979402921038488	1	../MuPIT_Interactive?gm=chr1:11824498						
NPPA	1	MS					C2677294	OMIM:612201	57	upper_aerodigestive_tract(2);cervix(1);large_intestine(12);stomach(4);soft_tissue(8);central_nervous_system(3);haematopoietic_and_lymphoid_tissue(2);liver(1);endometrium(3);oesophagus(1);breast(3);skin(6);lung(2);ovary(1);NS(2);prostate(1);thyroid(1);kidney(1);pancreas(3)	1	 The protein encoded by this gene belongs to the natriuretic peptide family. Natriuretic peptides are implicated in	6	http://www.ncbi.nlm.nih.gov/pubmed?term=NPPA[TIAB]+AND+cancer[MH]				0.091	0.8153	1							
KIAA2013	1	SY							58	thyroid(1);upper_aerodigestive_tract(1);large_intestine(7);stomach(4);soft_tissue(3);liver(3);cervix(1);haematopoietic_and_lymphoid_tissue(4);endometrium(4);oesophagus(3);breast(3);skin(13);lung(4);ovary(2);NS(2);prostate(1);pancreas(2)	1	No GeneCards annotation	0														
PLOD1	3	MS					C0268342	OMIM:225400;SNOMED CT:Ehlers-Danlos syndrome, hydroxylysine-deficient	194	large_intestine(45);endometrium(8);lung(14);skin(21);autonomic_ganglia(1);kidney(4);thyroid(6);cervix(2);central_nervous_system(2);oesophagus(2);NS(2);upper_aerodigestive_tract(14);biliary_tract(3);stomach(11);soft_tissue(8);urinary_tract(3);breast(8);prostate(7);pancreas(3);adrenal_gland(1);haematopoietic_and_lymphoid_tissue(10);ovary(5);bone(3);liver(11)	1	 Lysyl hydroxylase is a membrane-bound homodimeric protein localized to the cisternae of the endoplasmic reticulum.	2	http://www.ncbi.nlm.nih.gov/pubmed?term=PLOD1[TIAB]+AND+cancer[MH]				0.091	0.912263629659956	1	../MuPIT_Interactive?gm=chr1:11949899,chr1:11950412						
MIIP	1	MS							92	large_intestine(14);endometrium(2);lung(6);skin(25);autonomic_ganglia(1);kidney(2);cervix(1);central_nervous_system(1);oesophagus(2);NS(3);upper_aerodigestive_tract(4);biliary_tract(1);stomach(9);soft_tissue(2);urinary_tract(1);liver(4);prostate(5);pancreas(3);haematopoietic_and_lymphoid_tissue(1);ovary(1);bone(1);breast(3)	1	 This gene encodes a protein that interacts with the oncogene protein insulin-like growth factor binding protein 2	4	http://www.ncbi.nlm.nih.gov/pubmed?term=MIIP[TIAB]+AND+cancer[MH]				0.003	0.99879	1							
TNFRSF8	1	MS							198	large_intestine(22);endometrium(9);lung(10);skin(64);autonomic_ganglia(1);thyroid(3);cervix(5);central_nervous_system(5);oesophagus(8);NS(7);upper_aerodigestive_tract(1);biliary_tract(2);stomach(9);soft_tissue(5);urinary_tract(4);breast(11);prostate(4);pancreas(3);salivary_gland(1);ovary(5);bone(1);liver(18)	1	 The protein encoded by this gene is a member of the TNF-receptor superfamily. This receptor is expressed by	6	http://www.ncbi.nlm.nih.gov/pubmed?term=TNFRSF8[TIAB]+AND+cancer[MH]				0.813	0.02712	1							
VPS13D	2	MS							865	large_intestine(115);endometrium(53);lung(56);skin(185);autonomic_ganglia(2);kidney(26);thyroid(9);cervix(10);eye(1);central_nervous_system(7);oesophagus(36);parathyroid(1);NS(25);upper_aerodigestive_tract(33);biliary_tract(5);stomach(56);soft_tissue(15);urinary_tract(37);breast(48);prostate(25);pancreas(13);adrenal_gland(2);meninges(1);small_intestine(3);haematopoietic_and_lymphoid_tissue(22);ovary(6);bone(6);liver(67)	1	 This gene encodes a protein belonging to the vacuolar-protein-sorting-13 gene family. In yeast,	1	http://www.ncbi.nlm.nih.gov/pubmed?term=VPS13D[TIAB]+AND+cancer[MH]				0.333	0.30543	1							
DHRS3	1	SY							70	thyroid(1);cervix(2);large_intestine(16);stomach(4);soft_tissue(1);kidney(3);adrenal_gland(1);prostate(2);haematopoietic_and_lymphoid_tissue(5);biliary_tract(1);endometrium(2);oesophagus(1);liver(3);skin(18);central_nervous_system(1);lung(4);NS(1);autonomic_ganglia(1);breast(2);pancreas(1)	1	 Short-chain dehydrogenases/reductases (SDRs), such as DHRS3, catalyze the oxidation/reduction of a wide range of	10	http://www.ncbi.nlm.nih.gov/pubmed?term=DHRS3[TIAB]+AND+cancer[MH]													
C1orf158	1	MS							75	large_intestine(10);autonomic_ganglia(1);soft_tissue(1);central_nervous_system(2);oesophagus(1);haematopoietic_and_lymphoid_tissue(10);endometrium(2);urinary_tract(3);lung(4);liver(9);skin(28);stomach(1);ovary(1);kidney(1);pancreas(1)	1	No GeneCards annotation	0					0.691	0.0780300000000001	1							
PRAMEF12	1	SY							255	large_intestine(33);endometrium(9);lung(12);skin(80);autonomic_ganglia(2);kidney(12);thyroid(8);cervix(2);central_nervous_system(6);oesophagus(9);NS(11);upper_aerodigestive_tract(9);biliary_tract(1);stomach(13);soft_tissue(7);urinary_tract(6);breast(4);prostate(7);pancreas(4);haematopoietic_and_lymphoid_tissue(4);ovary(5);bone(6);liver(5)	1	No GeneCards annotation	0														
PRAMEF1	21	SG							554	large_intestine(30);endometrium(10);lung(14);skin(90);kidney(6);thyroid(52);cervix(3);central_nervous_system(21);oesophagus(6);NS(11);upper_aerodigestive_tract(223);biliary_tract(1);stomach(13);soft_tissue(2);urinary_tract(3);breast(10);prostate(8);pancreas(12);haematopoietic_and_lymphoid_tissue(18);ovary(4);bone(6);liver(11)	1	 This gene is a member of the PRAME (preferentially expressed antigen of melanoma) gene family which is expressed	0					0.137	0.999999999997799	1							
PRAMEF11	7	FI							276	large_intestine(19);pleura(1);endometrium(8);lung(4);skin(72);stomach(1);kidney(5);thyroid(15);cervix(5);central_nervous_system(6);oesophagus(4);NS(9);upper_aerodigestive_tract(69);autonomic_ganglia(2);soft_tissue(3);urinary_tract(6);liver(4);prostate(7);pancreas(7);haematopoietic_and_lymphoid_tissue(19);ovary(2);bone(2);breast(6)	1	No GeneCards annotation	0					0.166	0.999357283992875	1							
HNRNPCL1	43	MS							614	large_intestine(50);endometrium(7);lung(19);skin(98);autonomic_ganglia(2);kidney(3);thyroid(56);cervix(1);central_nervous_system(6);oesophagus(15);NS(11);upper_aerodigestive_tract(251);biliary_tract(6);stomach(14);soft_tissue(1);urinary_tract(2);liver(18);prostate(4);pancreas(5);adrenal_gland(1);haematopoietic_and_lymphoid_tissue(37);thymus(3);bone(2);breast(2)	1	No GeneCards annotation	0					0.311	0.999999948382414	1							
PRAMEF2	10	SG							410	large_intestine(45);endometrium(10);lung(27);skin(77);kidney(1);thyroid(27);cervix(3);central_nervous_system(12);oesophagus(8);NS(7);upper_aerodigestive_tract(84);stomach(10);soft_tissue(5);urinary_tract(4);breast(13);prostate(14);pancreas(8);salivary_gland(1);haematopoietic_and_lymphoid_tissue(34);ovary(2);bone(6);liver(12)	1	No GeneCards annotation	0					0.164	0.999999441822483	1							
PRAMEF4	3	MS							293	upper_aerodigestive_tract(60);thyroid(33);large_intestine(24);stomach(5);soft_tissue(4);central_nervous_system(3);cervix(2);haematopoietic_and_lymphoid_tissue(20);kidney(2);biliary_tract(2);endometrium(8);urinary_tract(1);lung(23);liver(8);skin(50);oesophagus(5);ovary(5);NS(7);prostate(4);breast(17);pancreas(10)	1	No GeneCards annotation	0					0.127	0.987431527548116	1							
PRAMEF10	4	MS							115	upper_aerodigestive_tract(29);thyroid(5);large_intestine(8);autonomic_ganglia(2);soft_tissue(3);central_nervous_system(3);cervix(1);haematopoietic_and_lymphoid_tissue(3);thymus(7);testis(1);endometrium(6);lung(7);breast(5);skin(23);stomach(3);oesophagus(2);ovary(2);NS(1);bone(3);pancreas(1)	1	No GeneCards annotation	0					0.233	0.957026366027886	1							
PRAMEF6	4	MS							152	thyroid(7);upper_aerodigestive_tract(67);large_intestine(4);stomach(3);central_nervous_system(7);haematopoietic_and_lymphoid_tissue(30);liver(1);urinary_tract(5);kidney(1);lung(5);breast(2);skin(15);oesophagus(2);NS(1);bone(1);pancreas(1)	1	No GeneCards annotation	0					0.507	0.978655635462272	1							
PRAMEF27	1	MS									1	No GeneCards annotation	0					0.221	0.49297	1							
HNRNPCL2	28	MS									1	No GeneCards annotation	0					0.129	0.999999999999982	1							
PRAMEF26	3	MS									1	No GeneCards annotation	0					0.088	0.997246481867755	1							
PRAMEF5	4	MS									1	No GeneCards annotation	0					0.18	0.993020731576268	1							
PRAMEF14	11	MS							32	upper_aerodigestive_tract(1);cervix(1);large_intestine(2);stomach(2);soft_tissue(1);central_nervous_system(1);haematopoietic_and_lymphoid_tissue(13);lung(3);breast(1);skin(5);ovary(1);NS(1)	1	No GeneCards annotation	0					0.2	0.99998502064993	1							
PRAMEF19	14	MS							260	upper_aerodigestive_tract(188);thyroid(27);large_intestine(5);stomach(2);haematopoietic_and_lymphoid_tissue(25);lung(4);liver(2);skin(5);NS(1);prostate(1)	1	No GeneCards annotation	0					0.095	0.999999999995684	1							
PRAMEF17	9	MS							48	upper_aerodigestive_tract(9);large_intestine(2);stomach(2);soft_tissue(1);central_nervous_system(1);haematopoietic_and_lymphoid_tissue(11);biliary_tract(1);endometrium(1);lung(2);liver(5);skin(8);pancreas(1);prostate(1);bone(1);kidney(1);breast(1)	1	No GeneCards annotation	0					0.019	0.999963105152783	1							
LRRC38	1	MS							48	thyroid(1);cervix(2);large_intestine(14);stomach(1);soft_tissue(5);biliary_tract(1);oesophagus(1);liver(11);skin(5);meninges(1);prostate(3);breast(1);pancreas(2)	1	No GeneCards annotation	0					0.019	0.98856	1							
PDPN	2	MS							97	upper_aerodigestive_tract(3);adrenal_gland(1);large_intestine(13);stomach(10);soft_tissue(1);central_nervous_system(1);haematopoietic_and_lymphoid_tissue(1);bone(2);biliary_tract(1);endometrium(8);urinary_tract(4);kidney(2);lung(5);liver(14);skin(17);oesophagus(1);ovary(4);prostate(3);thyroid(2);breast(1);pancreas(3)	1	 This gene encodes a type-I integral membrane glycoprotein with diverse distribution in human tissues. The	24	http://www.ncbi.nlm.nih.gov/pubmed?term=PDPN[TIAB]+AND+cancer[MH]				0.118	0.72199	1							
PRDM2	6	II							492	large_intestine(109);pleura(1);endometrium(30);lung(19);skin(52);autonomic_ganglia(1);kidney(8);thyroid(3);cervix(7);eye(1);central_nervous_system(8);oesophagus(21);NS(16);upper_aerodigestive_tract(35);biliary_tract(6);stomach(45);soft_tissue(11);urinary_tract(12);liver(33);prostate(13);pancreas(11);adrenal_gland(1);small_intestine(6);haematopoietic_and_lymphoid_tissue(17);ovary(5);bone(5);breast(16)	1	 This tumor suppressor gene is a member of a nuclear histone/protein methyltransferase superfamily. It encodes a	14	http://www.ncbi.nlm.nih.gov/pubmed?term=PRDM2[TIAB]+AND+cancer[TIAB]				0.41	0.870334783616279	1	../MuPIT_Interactive?gm=chr1:13778644						
KAZN	1	MS							209	large_intestine(39);endometrium(9);lung(9);skin(32);meninges(1);kidney(3);thyroid(2);cervix(4);central_nervous_system(6);oesophagus(7);upper_aerodigestive_tract(13);biliary_tract(3);stomach(16);soft_tissue(3);urinary_tract(5);breast(6);prostate(9);pancreas(5);haematopoietic_and_lymphoid_tissue(8);ovary(2);bone(1);liver(26)	1	 This gene encodes a protein that plays a role in desmosome assembly, cell adhesion, cytoskeletal organization, and	0					0.054	0.93503	1							
TMEM51	1	SY							85	upper_aerodigestive_tract(1);cervix(5);biliary_tract(1);stomach(6);central_nervous_system(1);adrenal_gland(1);thyroid(1);haematopoietic_and_lymphoid_tissue(3);breast(3);large_intestine(10);endometrium(3);lung(8);liver(7);skin(15);oesophagus(1);NS(1);prostate(3);bone(1);kidney(12);pancreas(2)	1	No GeneCards annotation	0														
